h1_rate,h3_rate,year,temp,humid,ab_humid
0.886075949,9.525316456,2005,29.41018519,75.6115,22.22754798
8.883248731,1.269035533,2006,28.71626984,69.87220833,19.77659231
1.951612903,9.580645161,2007,29.10416667,67.71241667,19.57605757
6.609852422,6.796923716,2008,28.28148148,67.93141667,18.77422806
10.53500661,3.517173052,2009,28.38564815,66.84475,18.57987672
16.51803541,3.221083455,2010,28.9087963,67.7035,19.36567778
1.758731731,12.60837255,2011,28.07060185,70.49660119,19.25859642
5.859464408,2.311741817,2012,29.63584656,69.11939881,20.57011704
1.168014376,10.57951482,2013,29.35555556,67.81016667,19.87495111
9.563353871,4.527189928,2014,28.80277778,70.30458333,19.99341395
2.403846154,13.87362637,2015,29.20694444,69.76491667,20.28288555
10.27143738,8.48241826,2016,29.32731481,72.52525,21.22424028
6.833050642,14.10225345,2017,28.84861111,74.62608333,21.27565294
15.1672621,6.528093537,2018,28.75185185,75.69158333,21.46547697
7.533805538,8.220648208,2019,29.33,70.3636,20.5946551
